window_id,truth,detector,score,threshold
iio_us-east-1_i-a2eb1cd9_NetworkIn:994:1010,0,autoencoder@0.95,0.01447896,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1002:1018,0,autoencoder@0.95,0.009798662,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1010:1026,0,autoencoder@0.95,0.011032198,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1018:1034,0,autoencoder@0.95,0.0132223535,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1026:1042,0,autoencoder@0.95,0.014123155,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1034:1050,0,autoencoder@0.95,0.008951525,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1042:1058,0,autoencoder@0.95,0.0149815995,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1050:1066,0,autoencoder@0.95,0.016806174,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1058:1074,0,autoencoder@0.95,0.045246106,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1066:1082,0,autoencoder@0.95,0.024398781,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1074:1090,0,autoencoder@0.95,0.012505255,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1082:1098,0,autoencoder@0.95,0.014867872,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1090:1106,0,autoencoder@0.95,0.01965138,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1098:1114,0,autoencoder@0.95,0.020443374,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1106:1122,0,autoencoder@0.95,0.015879432,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1114:1130,0,autoencoder@0.95,0.017969837,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1122:1138,0,autoencoder@0.95,0.019630022,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1130:1146,0,autoencoder@0.95,0.023410529,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1138:1154,0,autoencoder@0.95,0.016091317,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1146:1162,0,autoencoder@0.95,0.014572055,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1154:1170,0,autoencoder@0.95,0.015106007,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1162:1178,0,autoencoder@0.95,0.01669168,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1170:1186,0,autoencoder@0.95,0.040885653,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1178:1194,0,autoencoder@0.95,0.03815869,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1186:1202,0,autoencoder@0.95,0.044432774,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1194:1210,0,autoencoder@0.95,0.05116391,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1202:1218,0,autoencoder@0.95,0.056780566,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1210:1226,0,autoencoder@0.95,0.05557724,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1218:1234,0,autoencoder@0.95,0.057739463,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:1226:1242,0,autoencoder@0.95,0.08513649,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:994:1010,0,max_abs_z@0.95,0.34160727,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1002:1018,0,max_abs_z@0.95,0.20179415,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1010:1026,0,max_abs_z@0.95,0.14519738,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1018:1034,0,max_abs_z@0.95,0.2690225,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1026:1042,0,max_abs_z@0.95,0.22674082,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1034:1050,0,max_abs_z@0.95,0.19406226,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1042:1058,0,max_abs_z@0.95,0.24597742,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1050:1066,0,max_abs_z@0.95,0.5122674,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1058:1074,0,max_abs_z@0.95,0.6344865,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1066:1082,0,max_abs_z@0.95,0.4389122,1.284088134765625
iio_us-east-1_i-a2eb1cd9_NetworkIn:1074:1090,0,max_abs_z@0.95,0.24769072,1.284088134765625
